agency,db_type,country_name,country,paid,registration_required,government_db,url,notes,blog_post,video_url
Commercial Registry of Santiago,Business Registry,Chile,CL,False,False,True,http://www.cbrsantiago.cl/portal/general/busquedaInscripcion.do?metodo=init,Available: basic company information and some publication of changes,,
Chilean Securities and Insurance Supervisor,Business Registry,Chile,CL,False,False,True,http://www.svs.cl/sitio/english/mercados/valores.php,Available: basic information and financial reports of issuers,,
Stock Exchange of Chile,Business Registry,Chile,CL,False,False,True,http://www.bolchile.cl/en/ListadoAcciones?mostrar=ALFABETICO&menu=EST_LISTEMP,Available: a list of traded companies with basic info and reports for some,,
Official Gazette of the Republic of Chile,Business Registry,Chile,CL,False,False,True,http://www.diariooficial.interior.gob.cl/,,,
Shenzhen Stock Exchange,Business Registry,China,CN,False,False,True,http://www.szse.cn/main/en/marketdata/stockquotes/,Available: search by code; historical data on company,,
State Administration for Industry and Commerce,Business Registry,China,CN,False,False,True,http://english.wzj.saic.gov.cn/gfr/ybxz.html,A list of authorities and company regulators. Some information about foreign invested companies might be available at request.,,
Bolsa de Valores de Colombia,Business Registry,Colombia,CO,False,False,False,http://www.bvc.com.co/pps/tibco/portalbvc/Home/Empresas/Listado+de+Emisores?action=dummy,Available: a database of all listed companies with basic information and reports for some of them,,
Chamber of Commerce of Colombia,Business Registry,Colombia,CO,False,False,True,http://aplica.ccb.org.co/ccbconsultas/consultas/RUE/consulta_empresa.aspx,Available: comapny search by number and name,,
Unique commercial register of the Chamber of Commerce,Business Registry,Colombia,CO,False,False,True,http://www.rues.org.co/Rues_Web/consultas/,Available: comapny search by number and name,,
Congo Statistics Agency,Business Registry,Congo,CG,False,False,True,http://www.cnsee.org/,,,
Ministry of Justice Business Registry,Business Registry,Croatia,HR,False,False,True,https://sudreg.pravosudje.hr/registar/f?p=150:1,"Available: search by number and by name, with detailed company information.",,
Chamber of Commerce Company Registry,Business Registry,Croatia,HR,False,False,True,http://www1.biznet.hr/HgkWeb/do/language?lang=en_GB,"Available: search by number and by name, with detailed company information.",,
Croatian Export Directory,Business Registry,Croatia,HR,False,False,True,http://www2.hgk.hr/izvoznici/index.asp?mbr=&lang=en,"Search by name, primary activity, customs tariff (type of pruduct), type of services; Available: contact information, contact person, business activities, primary business activities, size, ownership structure, origin of capital, ",,
Croatian Financial Services Supervisory Agency,Business Registry,Croatia,HR,False,False,True,http://www.hanfa.hr/en/mainpage.html,"Available: Issuers list, Participants list, Corporate Actions, Ticker and ISIN, Securities overview, Statistics",,
The Zagreb Stock Exchange,Business Registry,Croatia,HR,False,False,True,http://www.zse.hr/default.aspx?id=26484,"Available: all listed bonds, shares, issuers and their reports",,
Department of Registrar of Companies and Official Receiver,Business Registry,Cyprus,CY,True,True,True,https://efiling.drcor.mcit.gov.cy/DrcorPublic/Error.aspx?code=b0&lang=EN,"Available: search by company name and number, provides detailed historical company information. Internet Explorer needed",,
Ministry of Justice Official Registry,Business Registry,Czech Republic,CZ,False,False,True,http://portal.justice.cz/Justice2/uvod/uvod.aspx,"Seacrh by company name, by personal name; Available: detailed historical company information and original documents",,
Czech National Bank,Business Registry,Czech Republic,CZ,False,False,True,https://oam.cnb.cz/sipresextdad/SIPRESWEB.WEB21.START_INPUT_OAM?p_lang=en,Available: a list of all issuers with historical information,,
Prague Stock Exchange,Business Registry,Czech Republic,CZ,False,False,True,http://www.pse.cz/Members.aspx,Available: exchange members list,,
Firmy.cz,Business Registry,Czech Republic,CZ,False,False,False,http://www.firmy.cz/,Available: basic company information and links to websites,,
Ministry of Finance Business Registry,Business Registry,Czech Republic,CZ,False,False,True,http://wwwinfo.mfcr.cz/ares/ares_es.html.cz,"Available: basic company information, scope of business, capital, statutory authority, shareholders, reports",,
Kurzy.cz,Commercial Register,Czech Republic,CZ,False,False,False,http://rejstrik-firem.kurzy.cz/,Available: search by personal and business name with basic information in results,,
BIQ,Commercial Register,Denmark,DK,True,True,False,http://www.biq.dk/search/advanced/company,Available: search by personal and company name with detailed results,,
Ministry of Business and Growth - FSA,Business Registry,Denmark,DK,False,False,True,http://www.dfsa.dk/en/Tal-og-fakta/Virksomheder-under-tilsyn/VUT-database.aspx,,,
Central Business Registry - CVK,Business Registry,Denmark,DK,False,True,True,http://www.cvr.dk/Site/Forms/CMS/DisplayPage.aspx?pageid=21,Available: search by personal and company name with detailed results,,
Ministry of Industry and Commerce,Business Registry,Dominican Republic,DO ,False,False,True,http://www.camarasantodomingo.org.do/red-empresarial/busqueda/,Available: search by company name or number with basic results,,
Ministry of Industry and Commerce - ONAPI,Business Registry,Dominican Republic,DO ,False,False,True,http://onapi.gob.do/,Some information can be obtained by mailing a request directly to the Office of Free Access to Information,,
Guichet Unique de Création d'Entreprise,Business Registry,Democratic Republic of the Congo,CD,False,False,True,http://www.mincommerce.cd/guichet-unique/,"No online search is available yet, but it is a good point to start researching, especially foreign investments",,
Ministry of Mining,Business Registry,Democratic Republic of the Congo,CD,False,False,True,http://mines-rdc.cd/fr/,Available: detailed overview of legislation and statistics. More information could be avialable at request,,
Superintendencia de Compañías Ecuador,Business Registry,Ecuador,EC,False,True,True,https://www.supercias.gov.ec/Web/privado/seguridad/htm/servicios%20personalizados.htm,Available only to subscribers,,
The Egiptian Exchange,Business Registry,Egypt,EG,False,False,True,http://www.egx.com.eg/English/ListedStocks.aspx,"A whole listing of stocks, bonds and mutual funds",,
Central Clearing Depository and Registry,Business Registry,Egypt,EG,False,False,True,http://www.mcsd.com.eg/mcdr/english/company.aspx?kindid=5,A whole listing of issuers,,
Centre of Registers and Information Systems,Business Registry,Estonia,EE,True,True,True,http://www.rik.ee/en/e-business-register,Available: detailed company information,,
Business Information System,Business Registry,Finland,FI,True,True,True,http://www.ytj.fi/english/,Available: detailed company information,,
Asiakastieto.fi,Commercial Register,Finland,FI,True,True,False,http://www.asiakastieto.fi/en/web/guest,Available: due diligence information on companies,,
Registry of Commerce and Companies,Business Registry,France,FR,True,False,True,https://www.infogreffe.fr/societes/,"Available: detailed company information and search by company name, number or director's name",,
Financial Markets Authority,Business Registry,France,FR,False,False,True,http://www.amf-france.org/en_US/Recherche-avancee.html?formId=BDIF,Available: financial records of traded companies,,
Paris Court Registry,Business Registry,France,FR,False,False,True,http://www.greffe-tc-paris.fr/fr/,Available: search for companies and directors in Paris,,
Societe.com,Commercial Register,France,FR,False,True,False,http://www.societe.com/,Available: purchase of financial and other records of French companies,,
Ministry of Economy and Finance - Cadastre,Business Registry,France,FR,False,False,True,http://www.cadastre.gouv.fr/scpc/changeLangue.do?lang=en&cty=EN,"Available: land registry information for France, Martinique, Guadeloupe, Guyane, Réunion ",,
Revenue,Business Registry,Georgia,GE,False,True,True,https://www.revenue.mof.ge/rtos/auto_login.aspx,Available only in Georgian,,
Georgian Stock Exchange,Business Registry,Georgia,GE,False,False,True,http://www.gse.ge/Stocks/Issues.htm,"Available in English and Georgian, offers information and reports of issuers",,
Business Registry,Business Registry,Georgia,GE,False,False,True,https://enreg.reestri.gov.ge/main.php,"Available: search for enterpreneurs, limited companies and nonprofits. Only in Georgian",,
Electronic Governmental Resources,Business Registry,Georgia,GE,False,False,True,http://e-government.ge/index.php?lang=4&id=-1&p=start&page=1,"Available: cadastral data, company status, birth and death certificates, other citizen affairs related documents",,
Company Register,Business Registry,Germany,DE,True,False,True,https://www.unternehmensregister.de/ureg/?submitaction=language&language=en,Available: detailed company information with original documents for some,,
Federal Financial Supervisory Authority,Regulatory Agency,Germany,DE,False,False,True,https://portal.mvp.bafin.de/database/InstInfo/,Available: search of listed companies and reports. Only available in German,,
Hamburg-Hannover Stock Exchange,Business Registry,Germany,DE,False,False,True,http://kurse.boersenag.de/anleihen/emittenten,Available: list and basic information of all issuers,,
Düsseldorf Stock Exchange,Business Registry,Germany,DE,False,False,True,http://www.boerse-duesseldorf.de/home,Available: list and basic information of all issuers,,
Hamburg Stock Exchange,Business Registry,Germany,DE,False,False,True,http://www.hamburger-boerse.de/en/,Available: list and basic information of all issuers,,
The Association of German Chambers of Commerce and Industry,Business Registry,Germany,DE,False,False,True,http://www.dihk.de/ihk-finder,Available: a list of all German Chambers of Commerc and their authority,,
Securities and Exchange Commission,Business Registry,Ghana,GH,False,False,True,http://www.secghana.org/investor/index.asp,Available: list of all licenced financial market operators,,
Registrar General's Department,Business Registry,Ghana,GH,False,False,True,http://www.rgd.gov.gh/en/customer-service/online-registration.php,No online search is available yet.,,
Energy Comission,Business Registry,Ghana,GH,False,False,True,http://energycom.gov.gh/,Available: information on the resources market and legislation,,
