blog_post,government_db,registration_required,video_url,url,country,db_type,agency,paid,notes
,True,False,,http://www.cosob.org/les-emetteurs-societes-cotees.htm,DZ,regulatory,La Commission d'Organisation et de Surveillance des Opérations de Bourse (COSOB),False,
,True,False,,http://www.szse.cn/main/en/marketdata/stockquotes/,CN,business,Shenzhen Stock Exchange,False,Available: search by code; historical data on company
,True,False,,http://www.consob.it/mainen/issuers/listed_companies/index.html,IT,business,CONSOB,False,Available: detailed information about all listed companies
,False,True,,https://www.duedil.com/,GB,commercial,DueDil,False,Available: active and dissolved companies search with detailed information on directors and financials. For most companies current shareholder is also available. Original documents are also available for purchase.
,True,False,,https://tnbear.tn.gov/ECommerce/FilingSearch.aspx,US,business,Tennessee Secretary of State,False,Available: search for company name or number with basic company information
,True,True,,https://marangatu.set.gov.py/eset/perfilPublicoContribIService.do,PY,business,Undersecretary of State Taxation,False,Available: search by tax number
,True,False,,http://www.zefix.ch/,CH,business,Central Business Names Index,False,Available: search by company name or number and detailed company information
,True,False,,https://www.psi.gov.sg/NASApp/tmf/TMFServlet?app=RCB-BIZFILE-LOGIN-1B,SG,business,Bizfile,False,Available: search by company name with basic company information
,True,False,,http://www.commerce.gov.bf/,BF,business,Ministry of Industry and Commerce,False,Available: limited information on companies is available at request
,True,False,,http://www.fme.is/?PageID=722,IS,business,The Financial Supervisory Authority,False,Available: a list of all authorised financial institutions and companies
,True,False,,http://www.gov.im/ded/pvi/pvi_fr.html,IM,business,Department of Economic Development,True,Available: detailed company information
,True,False,,http://apps.sos.wv.gov/business/corporations/index.aspx,US,business,West Virginia Secretary of State,False,Available: search for company name or number with basic company information
,True,False,,https://hbe.ehawaii.gov/documents/search.html,US,business,Hawaii Dept. of Commerce and Consumer Affairs,False,Available: search for company name or number with basic company information
,True,False,,http://www.sos.sc.gov/Search%20Business%20Filings,US,business,South Carolina Secretary of State,False,Available: search for company name or number with basic company information
,True,False,,https://www.business.gov.om/wps/portal/pes/services/searchcommercialname/!ut/p/c5/,OM,business,Ministry of Commerce and Industry,False,Available: search by name and basic company information
,True,False,,http://www.hcmc.gr/pages/epeypar.asp?catId=107,GR,regulatory,SEC,False,Available: a list of companies
,True,False,,http://guichetunique.cd/,CD,business,Guichet Unique de Création d'Entreprise,False,"No online search is available yet, but it is a good point to start researching, especially foreign investments"
,True,False,,https://enreg.reestri.gov.ge/main.php,GE,business,Business Registry,False,"Available: search for enterpreneurs, limited companies and nonprofits. Only in Georgian"
,True,False,,https://rgd.legalaffairs.gov.tt/,TT,business,Companies Registry,False,Available: search by company name with basic company information
,True,False,,http://www.moea.gov.bt/content/index.php,BT,business,Ministry of Economic Affairs,False,No online data available.
,True,False,,http://www.crhovrs.org/index.php?option=com_lqm&task=showPane&application=1&query=1&Itemid=23&lang=en,BA,business,Securities Commission of Republika Srpska,False,Available: a list of shareholders of all publicaly traded companies
,True,False,,http://www.cnsee.org/,CG,business,Congo Statistics Agency,False,
,True,False,,http://egrul.nalog.ru/,RU,business,Federal Tax Authority,False,"Available: Basic company information, Information on: representatives etc."
,True,False,,http://startbiz.go.kr/EP/web/portal/jsp/EP_Default1.jsp,KR,business,Start-Biz,False,Available: only in Korean
,True,False,,http://e-beszamolo.kim.gov.hu/,HU,business,Ministry of Justice,False,Available: filed company reports
,True,False,,http://www.camarasantodomingo.org.do/red-empresarial/busqueda/,DO,business,Ministry of Industry and Commerce,False,Available: search by company name or number with basic results
,True,False,,http://www.seba.ir/,IR,business,SEBA,False,Available only in Persian
,True,False,,http://www.sunbiz.org/,US,business,Florida Department of State,False,Available: search for company name or number with basic company information
,True,True,,http://www.ytj.fi/english/,FI,business,Business Information System,True,Available: detailed company information
,True,False,,http://www.ibcbelize.com/,BZ,business,International Business Companies Registry,True,No online data available. Limited company information is available at written request.
,True,False,,http://www.brela-tz.org/?section=companies&page=search,TZ,business,Business Registration and Licensing Agency,False,
,True,False,,https://registroimprese.cc.sm/,SM,business,Archive of the Economic Activities of The Republic of San Marino,False,Available: search by company name with basic company information
,True,False,,http://www.adilet.gov.kz/en/baza_zt,KZ,business,Ministry of Justice,False,Available: database of registered companies. Full available in Russian and Kazakh
,True,False,,http://www.boerse-duesseldorf.de/home,DE,business,Düsseldorf Stock Exchange,False,Available: list and basic information of all issuers
,True,False,,https://portal.onrc.ro/ONRCPortalWeb/ONRCPortal.portal,RO,business,Ministry of Justice,False,
,True,False,,https://www.corporations.state.pa.us/corp/soskb/csearch.asp,US,business,Pennsylvania Department of State,False,Available: search for company name or number with basic company information
,True,False,,http://www.moic2.gov.bh/eInvestor.Web/Web.UI.Pages/Online/Inquiry/Inquiry.aspx?inq=1,BH,business,Ministry of Industry and Commerce,False,
,True,False,,http://sidjilcom.cnrc.dz/portal/public/classic/id_rech_denom,DZ,business,Ministry of Commerce,False,
,True,False,,http://www.mtinamesearch.gov.bw/search/,BW,business,Ministry of Trade and Industry,False,"Available for search: companies, trademarks, business names"
,True,False,,http://www.dti.gov.za/,ZA,business,Department of Trade and Industry,False,"No online search is avalable, but per request this department could provide information on entrepreneurs, small and medium companies"
,True,False,,"http://www.dubaichamber.ae/portal/page?_pageid=53,3213,53_3170&_dad=portal&_schema=PORTAL",AE,business,Dubai Chamber of Commerce,False,Available; trade name search in English and a directory of companies
,True,False,,https://secure.in.gov/sos/online_corps/name_search.aspx,US,business,Indiana Secretary of State,False,Available: search for company name or number with basic company information
,False,True,,http://www.biq.dk/search/advanced/company,DK,commercial,BIQ,True,Available: search by personal and company name with detailed results
,True,False,,http://www.directinfo.ma/,MA,business,directinfo.ma,False,Available: search by name and basic company information
,True,False,,https://www.companies.gov.ws/,WS,business,"Ministry of Commerce, Industry and Labor",False,Available: search by name or company official with basic company information
